emoji,unicode,aliases_all
😀,😀,"wajah_gembira_bahagia_muka_senang"
😃,😃,"wajah_tersenyum_lebar_muka_mulut_senyum_terbuka"
😄,😄,"wajah_tersenyum_lebar_dan_mata_tertutup_muka_mulut_senyum_terbuka"
😁,😁,"wajah_gembira_dengan_mata_bahagia_cengiran_muka_senyum_tersenyum_lebar"
😆,😆,"wajah_tersenyum_lebar_dan_memejamkan_mata_mulut_puas_senyum_tertawa"
😅,😅,"wajah_tersenyum_lebar_dan_berkeringat_dingin_keringat_muka_senyum_terbuka"
🤣,🤣,"tertawa_terbahak-bahak_kocak_lucu_ngakak"
😂,😂,"wajah_gembira_berurai_air_mata_bahagia_tertawa_dengan"
🙂,🙂,"wajah_agak_tersenyum_muka_senyum"
🙃,🙃,"wajah_terbalik_muka"
😉,😉,"wajah_berkedip_kedip_muka"
😊,😊,"wajah_tersenyum_dengan_mata_bahagia_muka_senyum_tersipu"
😇,😇,"wajah_malaikat_fantasi_halo_lugu_tersenyum"
🥰,🥰,"wajah_tersenyum_dengan_3_hati_jatuh_cinta_memuja_naksir"
😍,😍,"wajah_tersenyum_lebar_bermata_hati_cinta_mata_senyum"
🤩,🤩,"wajah_dengan_mata_berbentuk_bintang_menyeringai"
😘,😘,"wajah_memberikan_ciuman_jauh_cium_hati_muka"
😗,😗,"wajah_memberikan_ciuman_cium_muka"
☺️,☺️,"wajah_tersenyum_muka_rileks_santai_senyum_tersipu"
😚,😚,"wajah_memberikan_ciuman_dengan_mata_tertutup_cium_muka_tutup"
😙,😙,"wajah_memberikan_ciuman_dengan_mata_bahagia_cium_muka_senyum"
🥲,🥲,"wajah_tersenyum_dengan_air_mata_bangga_bersyukur_lega_tersentuh"
😋,😋,"wajah_menikmati_lezat_nyam_senyum_makanan"
😛,😛,"wajah_menjulurkan_lidah_muka"
😜,😜,"wajah_menjulurkan_lidah_dan_mengedipkan_mata_kedip_lelucon_mengedip_dengan"
🤪,🤪,"wajah_konyol_besar_bodoh_kecil_mata"
😝,😝,"wajah_menjulurkan_lidah_dan_memejamkan_mata_menjijikan_rasa"
🤑,🤑,"wajah_materialistis_matre_muka_mulut_uang"
🤗,🤗,"wajah_memeluk_muka_peluk"
🤭,🤭,"wajah_dengan_tangan_menutup_mulut_ups"
🤫,🤫,"wajah_menyuruh_diam_jangan_berisik_ssst_sst"
🤔,🤔,"wajah_berpikir_mikir_muka_pikir"
🤐,🤐,"wajah_dengan_mulut_tertutup_rapat_muka"
🤨,🤨,"wajah_dengan_alis_terangkat_ragu_skeptis_tidak_percaya"
😐,😐,"wajah_netral_datar_muka"
😑,😑,"wajah_tanpa_ekspresi_datar_lempeng_muka"
😶,😶,"wajah_tanpa_mulut_diam_muka_tenang"
😶‍🌫️,😶‍🌫️,wajah_dikelilingi_awan
😏,😏,"wajah_tersenyum_sombong_seringai_menyeringai"
😒,😒,"wajah_bosan_muka"
🙄,🙄,"wajah_dengan_mata_ke_atas_berputar_muka"
😬,😬,"wajah_menyeringai_muka_seringai"
😮‍💨,😮‍💨,wajah_mengembuskan_napas
🤥,🤥,"bohong_muka_pinokio_wajah"
😌,😌,"wajah_lega_muka"
😔,😔,"wajah_merenung_muka_murung_sedih_termenung"
😪,😪,"wajah_mengantuk_muka_ngantuk"
🤤,🤤,"ngiler_pengen_wajah"
😴,😴,"wajah_tidur_muka_zzz"
