emoji,unicode,aliases_all
😀,😀,"wajah, gembira, bahagia, muka, senang"
😃,😃,"wajah, tersenyum, lebar, muka, mulut, senyum, terbuka"
😄,😄,"wajah, tersenyum, lebar, dan, mata, tertutup, muka, mulut, senyum, terbuka"
😁,😁,"wajah, gembira, dengan, mata, bahagia, cengiran, muka, senyum, tersenyum, lebar"
😆,😆,"wajah, tersenyum, lebar, dan, memejamkan, mata, mulut, puas, senyum, tertawa"
😅,😅,"wajah, tersenyum, lebar, dan, berkeringat, dingin, keringat, muka, senyum, terbuka"
🤣,🤣,"tertawa, terbahak-bahak, kocak, lucu, ngakak"
😂,😂,"wajah, gembira, berurai, air, mata, bahagia, tertawa, dengan"
🙂,🙂,"wajah, agak, tersenyum, muka, senyum"
🙃,🙃,"wajah, terbalik, muka"
😉,😉,"wajah, berkedip, kedip, muka"
😊,😊,"wajah, tersenyum, dengan, mata, bahagia, muka, senyum, tersipu"
😇,😇,"wajah, malaikat, fantasi, halo, lugu, tersenyum"
🥰,🥰,"wajah, tersenyum, dengan, 3, hati, jatuh, cinta, memuja, naksir"
😍,😍,"wajah, tersenyum, lebar, bermata, hati, cinta, mata, senyum"
🤩,🤩,"wajah, dengan, mata, berbentuk, bintang, menyeringai"
😘,😘,"wajah, memberikan, ciuman, jauh, cium, hati, muka"
😗,😗,"wajah, memberikan, ciuman, cium, muka"
☺️,☺️,"wajah, tersenyum, muka, rileks, santai, senyum, tersipu"
😚,😚,"wajah, memberikan, ciuman, dengan, mata, tertutup, cium, muka, tutup"
😙,😙,"wajah, memberikan, ciuman, dengan, mata, bahagia, cium, muka, senyum"
🥲,🥲,"wajah, tersenyum, dengan, air, mata, bangga, bersyukur, lega, tersentuh"
😋,😋,"wajah, menikmati, lezat, nyam, senyum, makanan"
😛,😛,"wajah, menjulurkan, lidah, muka"
😜,😜,"wajah, menjulurkan, lidah, dan, mengedipkan, mata, kedip, lelucon, mengedip, dengan"
🤪,🤪,"wajah, konyol, besar, bodoh, kecil, mata"
😝,😝,"wajah, menjulurkan, lidah, dan, memejamkan, mata, menjijikan, rasa"
🤑,🤑,"wajah, materialistis, matre, muka, mulut, uang"
🤗,🤗,"wajah, memeluk, muka, peluk"
🤭,🤭,"wajah, dengan, tangan, menutup, mulut, ups"
🤫,🤫,"wajah, menyuruh, diam, jangan, berisik, ssst, sst"
🤔,🤔,"wajah, berpikir, mikir, muka, pikir"
🤐,🤐,"wajah, dengan, mulut, tertutup, rapat, muka"
🤨,🤨,"wajah, dengan, alis, terangkat, ragu, skeptis, tidak, percaya"
😐,😐,"wajah, netral, datar, muka"
😑,😑,"wajah, tanpa, ekspresi, datar, lempeng, muka"
😶,😶,"wajah, tanpa, mulut, diam, muka, tenang"
😶‍🌫️,😶‍🌫️,wajah_dikelilingi_awan
😏,😏,"wajah, tersenyum, sombong, seringai, menyeringai"
😒,😒,"wajah, bosan, muka"
🙄,🙄,"wajah, dengan, mata, ke, atas, berputar, muka"
😬,😬,"wajah, menyeringai, muka, seringai"
😮‍💨,😮‍💨,wajah_mengembuskan_napas
🤥,🤥,"bohong, muka, pinokio, wajah"
😌,😌,"wajah, lega, muka"
😔,😔,"wajah, merenung, muka, murung, sedih, termenung"
😪,😪,"wajah, mengantuk, muka, ngantuk"
🤤,🤤,"ngiler, pengen, wajah"
😴,😴,"wajah, tidur, muka, zzz"
