text,createTime
gibran:,1764933105
"ini emg harusnya ganti rakyat sih. bgnian emg bare minimum tp yg lain belum tentu bisa. HARGAIN AJA HARGAIN, KPN LO LIAT WAPRES SEAKTIF INI???",1764928295
wapres aja gak pakek rompi anti peluru,1764922201
di indo doang presiden n wapres di hujat wkwk,1764925978
"di X parah bett anjir komenannya, merinding langsung gw out gasanggup pak wapres dirujak abis😭",1764922173
"IYAA TAUU BARE MINIMUM, tpi di era skrng jarang bgt pejabat begini gasi? PADAHAL BARE MINIMUM. Padahal beliau wapres, seharusnya tugas begini tuh pejabat daerah gasi (otonomi daerah)",1764927613
"knpa sih pemimpin yg bener di hujat ,,,emang bener harus ganti rakyat",1764923225
"@Cortis:Dari dulu gibran memang begitu kok, waktu jadi walikota solo di buka akses buat chat dia biar masyarakatnya bisa kasih keluhan secara langsung. Dimana lagi kita mau dapat pemimpin yang mau langsung catat keluhan warganya. Di Indo malah dihujat",1764926105
"ada aksi nyata dihujat, ga ada aksinya juga di hujat",1764927318
"sbnrnya ini bare minimum, cm krn jrg nemu pejabat yg begini jd agak gmn ya kek oh ada ya yg gini?. but makasi banyak pak gibran udh turun lapangan begini",1764926348
emang indo harusnya ganti rakyat si,1764930580
"ganti wapres ❌
ganti rakyat ☑️",1764934112
sehat-sehat yaaa pak gibran:(,1764927374
mas gibran🗿,1764935789
kerja nyata aja msh banyak yg gak suka😭,1764926988
ini bentar lagi ada yg komen cari muka😭😭,1764921903
nemu komen yg isinya “mau siapapun pejabatnya gak bakalan luput dari rujakan netizen” lgsg nyesssss bacanya😭😭,1764927282
"Padahal dia cuma bertugas sesuai kapasitas dia , tp kenapa byk yg gasuka bahkan ngehina dia ? Apa manusia skrg udh ga punya hati dan empati?",1764927202
gw sedih banget liat orang2 dengan mudahnya ngetik jahat ke orang lain apalagi mereka ketemu orang itu aja bahkan ga pernah. mereka belum tentu jg sanggup diposisi orang itu,1764926670
"Dari dulu gibran memang begitu kok, waktu jadi walikota solo di buka akses buat chat dia biar masyarakatnya bisa kasih keluhan secara langsung. Dimana lagi kita mau dapat pemimpin yang mau langsung catat keluhan warganya. Di Indo malah dihujat",1764925625
"kok orang orang punya tenaga ya buat ngejudge, padahal lagi nolongin loh bukan buat keributan😭😭",1764926338
pak gibran:,1764935793
