text,createTime,sentiment_score,sentiment_label
gibran:,1764933105,-0.0009178519,neutral
"ini emg harusnya ganti rakyat sih. bgnian emg bare minimum tp yg lain belum tentu bisa. HARGAIN AJA HARGAIN, KPN LO LIAT WAPRES SEAKTIF INI???",1764928295,0.12697107,positive
wapres aja gak pakek rompi anti peluru,1764922201,0.002259761,neutral
di indo doang presiden n wapres di hujat wkwk,1764925978,-0.00060504675,neutral
"di X parah bett anjir komenannya, merinding langsung gw out gasanggup pak wapres dirujak abis😭",1764922173,0.098609805,positive
"IYAA TAUU BARE MINIMUM, tpi di era skrng jarang bgt pejabat begini gasi? PADAHAL BARE MINIMUM. Padahal beliau wapres, seharusnya tugas begini tuh pejabat daerah gasi (otonomi daerah)",1764927613,0.057254404,positive
"knpa sih pemimpin yg bener di hujat ,,,emang bener harus ganti rakyat",1764923225,0.12487641,positive
"@Cortis:Dari dulu gibran memang begitu kok, waktu jadi walikota solo di buka akses buat chat dia biar masyarakatnya bisa kasih keluhan secara langsung. Dimana lagi kita mau dapat pemimpin yang mau langsung catat keluhan warganya. Di Indo malah dihujat",1764926105,0.11531171,positive
"ada aksi nyata dihujat, ga ada aksinya juga di hujat",1764927318,-0.0016025007,neutral
"sbnrnya ini bare minimum, cm krn jrg nemu pejabat yg begini jd agak gmn ya kek oh ada ya yg gini?. but makasi banyak pak gibran udh turun lapangan begini",1764926348,0.1263332,positive
gibran:,1764924507,-0.0009178519,neutral
emang indo harusnya ganti rakyat si,1764930580,-0.00039470196,neutral
"ganti wapres ❌
ganti rakyat ☑️",1764934112,0.0017151535,neutral
sehat-sehat yaaa pak gibran:(,1764927374,0.12644756,positive
mas gibran🗿,1764935789,-0.041994095,neutral
kerja nyata aja msh banyak yg gak suka😭,1764926988,0.100910634,positive
ini bentar lagi ada yg komen cari muka😭😭,1764921903,-0.06612289,negative
nemu komen yg isinya “mau siapapun pejabatnya gak bakalan luput dari rujakan netizen” lgsg nyesssss bacanya😭😭,1764927282,-0.011547416,neutral
"Padahal dia cuma bertugas sesuai kapasitas dia , tp kenapa byk yg gasuka bahkan ngehina dia ? Apa manusia skrg udh ga punya hati dan empati?",1764927202,0.091447204,positive
gw sedih banget liat orang2 dengan mudahnya ngetik jahat ke orang lain apalagi mereka ketemu orang itu aja bahkan ga pernah. mereka belum tentu jg sanggup diposisi orang itu,1764926670,0.121922344,positive
"Dari dulu gibran memang begitu kok, waktu jadi walikota solo di buka akses buat chat dia biar masyarakatnya bisa kasih keluhan secara langsung. Dimana lagi kita mau dapat pemimpin yang mau langsung catat keluhan warganya. Di Indo malah dihujat",1764925625,0.12349185,positive
"kok orang orang punya tenaga ya buat ngejudge, padahal lagi nolongin loh bukan buat keributan😭😭",1764926338,0.11827037,positive
pak gibran:,1764935793,0.025479883,neutral
yg ngehujat emg bener harus ganti rakyat nya deh,1764929911,0.12583715,positive
"Bran jika niat lu baik, inshaa allah semua kebaikan ke lu bran. kami ga ga nuntut lu sempurna, tapi setidaknya berguna. semangat wapres ku",1764922246,0.12697932,positive
gua buka x sama ig naudzubillah ketikannya semuanya 😭 EMG PLING BENER 2026 GANTI RAKYAT KEC GUE!!!,1764933178,0.12672928,positive
"wapres tersibuk sepanjang masa. tapi masih aja di hujat habis"" an . 🥺",1764931630,0.0015029907,neutral
"@Cortis: Dari dulu gibran memang begitu kok, waktu jadi walikota solo di buka akses buat chat dia biar masyarakatnya bisa kasih keluhan secara langsung. Dimana lagi kita mau dapat pemimpin yang mau langsung catat keluhan warganya. Di Indo malah dihujat",1764928226,0.11531171,positive
"kita tau kok teman-teman, hal yang pak gibran lakukan itu adalah bare minimum yang harus dilakukan para pejabat saat bertemu rakyat. tapi pejabat mana yang ngelakuin itu, di zaman ini? kami bukan menyanjung bagaikan dewa kami cuma mau kasih tau.. Wapres kita saat ini lebih baik dari Wapres kita yang lalu. dia turun ditengah rakyat, dia mendengarkan keluhan rakyat, dia peduli dengan rakyat... dia tidak hanya bersembunyi di bekalang tubuh pak presiden aja... dia bener-bener pakai tubuhnya sendiri buat bantu kita.",1764927463,0.12487602,positive
"Dtulis scra detil keluh kesah warganya, memastikan warganya klo smua sgra membaik",1764922266,0.12604654,positive
"yang belom paham
x= 01
tt= 02",1764924315,-0.0018803179,neutral
keknya emang harus ganti rakyat ga si wkw,1764930733,0.0067130625,neutral
"plizzz normalisasi pejabat kalau gini emng kerjanya dia,gak usah di dewakan",1764926679,0.0012812316,neutral
"Maksut nya ya, bersihin hati kita semua, kalo kerjanya bagus puji dan berterimakasih lah, kalo keliru ayok sama sama kita perbaiki, bersihin kacamata kita masing masing, biar bisa ngeliat baik nya pejabat ga buruk nya doang, mereka aku dan kita juga manusia yang baru pertama kali hidup di dunia ini.",1764932049,0.12171218,positive
"sebaik ini masih dihujat?, miris banget",1764931194,0.12347713,positive
"I mean, dia beneran kerja lo. Ga ngerugiin negara. Be wise lah yaa, kritik boleh tp ga hujatan juga. 🫠",1764941750,0.10689548,positive
